story_number,episode_title,type,first_aired,uk_viewers,rating_AI,duration,season,ep_num,rating_imdb,rating_n,desc,writer,director,doctor_who_actor,,Showrunner
185b,The Family of Blood,episode,6/2/2007,7.21,86,45,3,9,9.2,8121,"The Doctor must deal with the repercussions of his decision to become human, as The Family Of Blood unveil themselves...",Paul Cornell,Charles Palmer,David Tennant,,Russell T Davies
186,Blink,episode,6/9/2007,6.62,87,45,3,10,9.8,19688,Sally Sparrow receives a cryptic message from the Doctor about a mysterious new enemy species that is after the TARDIS.,Steven Moffat,Hettie MacDonald,David Tennant,,Russell T Davies
187a,Utopia,episode,6/16/2007,7.84,87,45,3,11,8.7,6592,"Soon after bumping into old friend Jack Harkness, Martha and The Doctor head off to Malcassairo, a distant planet where an old professor will do anything he can to keep his people alive...",Russell T Davies,Graeme Harper,David Tennant,,Russell T Davies
187b,The Sound of Drums,episode,6/23/2007,7.51,87,45,3,12,8.7,6649,"The Doctor, Martha and Jack return to the 21st Century eighteen months after the Doctor and Martha left. They find they've missed the election, and the new Prime Minister, Harold Saxon, is someone they've met before by another name.",Russell T Davies,Colin Teague,David Tennant,,Russell T Davies
187c,Last of the Time Lords,episode,6/30/2007,8.61,88,52,3,13,8.3,6899,"It's been a year since The Master unleashed the mysterious Toclafane onto Earth. With the human race and The Doctor enslaved under The Master's control, Martha Jones is the only person that can help stop the evil Time Lord.",Russell T Davies,Colin Teague,David Tennant,,Russell T Davies
188,Voyage of the Damned,special,12/25/2007,13.31,86,72,4,0,7.6,6467,"A spacecraft set on an apocalyptic collision course with Earth, a host of killer robot angels and an evil severed headed mastermind - it's just another Christmas for the Doctor... 2007 Christmas special guest starring Kylie Minogue.",Russell T Davies,James Strong,David Tennant,,Russell T Davies
189,Partners in Crime,episode,4/5/2008,9.14,88,50,4,1,7.8,6105,"With a new weight-loss pill tested in London by Adipose Industries, The Doctor goes to investigate the sinister truth behind the product, only to find out that his old friend Donna Noble is investigating as well.",Russell T Davies,James Strong,David Tennant,,Russell T Davies
190,The Fires of Pompeii,episode,4/12/2008,9.04,87,50,4,2,8,6295,"Instead of Rome, The Doctor and Donna Noble end up visiting Pompeii in AD 79, on the eve of the catastrophic eruption of Mount Vesuvius. Before anyone even knew it was actually a volcano, the entire city is doomed for destruction.",James Moran,Colin Teague,David Tennant,,Russell T Davies
191,Planet of the Ood,episode,4/19/2008,7.5,87,45,4,3,8.1,6012,"Finding themselves on the Ood-Sphere planet in the 42nd century, The Doctor and Donna discover the truth over the Ood's willingness to serve humankind.",Keith Temple,Graeme Harper,David Tennant,,Russell T Davies
192a,The Sontaran Stratagem,episode,4/26/2008,7.06,87,45,4,4,7.5,5423,UNIT's newest recruit Martha Jones enlists The Doctor's help to investigate kid genius Luke Rattigan and his ATMOS system that is used in every car on Earth.,Helen Raynor,Douglas Mackinnon,David Tennant,,Russell T Davies
192b,The Poison Sky,episode,5/3/2008,6.53,88,45,4,5,7.5,5393,"With planet Earth choking under the poison sky, the Doctor must stop the Sontarans' threat to the planet.",Helen Raynor,Douglas Mackinnon,David Tennant,,Russell T Davies
193,The Doctor's Daughter,episode,5/10/2008,7.33,88,45,4,6,7.6,6044,"Caught in the middle of a war between the Humans and the Hath in the planet Messaline, the Doctor finds himself once again a father.",Stephen Greenhorn,Alice Troughton,David Tennant,,Russell T Davies
194,The Unicorn and the Wasp,episode,5/17/2008,8.41,86,45,4,7,7.7,5920,"With a 1926 dinner party turning into a murder mystery, The Doctor and Donna Noble get the chance to meet Agatha Christie on the eve of her well-known 9-days disappearance.",Gareth Roberts,Graeme Harper,David Tennant,,Russell T Davies
195a,Silence in the Library,episode,5/31/2008,6.27,89,45,4,8,9.4,8792,The Doctor and Donna join a group of archaeologists at a 51st century library. What caused the library to become abandoned? What are the Nodes? And what links the library to one little girl? All they have is one warning - count the shadows.,Steven Moffat,Euros Lyn,David Tennant,,Russell T Davies
195b,Forest of the Dead,episode,6/7/2008,7.84,89,45,4,9,9.5,9105,"With the library darkening, the Doctor takes on the Vashta Nerada while figuring out what links River Song to his future. Meanwhile, Donna finds out the mystery of Dr. Moon and the Girl.",Steven Moffat,Euros Lyn,David Tennant,,Russell T Davies
196,Midnight,episode,6/14/2008,8.05,86,45,4,10,9.1,8100,"As part of a well-deserved holiday, the Doctor takes a tour on a planet called Midnight. Little does he know that something is knocking on the walls, although the planet shouldn't be inhabited. Soon the passengers begin to panic when one of them is possessed.",Russell T Davies,Alice Troughton,David Tennant,,Russell T Davies
197,Turn Left,episode,6/21/2008,8.09,88,50,4,11,8.9,6886,"What would happen if Donna never met the Doctor? How would Earth handle the Racnoss, the falling Titanic or the Sontarans? Aided by a familiar blonde time traveler, Donna corrects the alternate time line from happening.",Russell T Davies,Graeme Harper,David Tennant,,Russell T Davies
198a,The Stolen Earth,episode,6/28/2008,8.78,91,45,4,12,9.1,6824,"The return of an old enemy leaves Earth along with 26 other planets stolen from their places. As the Doctor and Donna look for the whereabouts of Earth, former companions of the Doctor assemble a resistance against the new Dalek Empire.",Russell T Davies,Graeme Harper,David Tennant,,Russell T Davies
